ID,CONVERTED_ACCOUNT_ID,A_LEAD_ASSOCIATED_COUNTRY_C,A_LEAD_UTM_SOURCE_C,CREATED_DATE,A_LEAD_FIRST_REACH_OUT_DATE_C,A_LEAD_FIRST_MEETING_CREATION_DATE_C,A_LEAD_FIRST_MEETING_DATE_C,A_LEAD_LAST_MEETING_DATE_C,IS_DELETED
00Q1i00000AOsvPEAT,,Italy,facebook,2022-02-01T02:26:26Z,2022-02-01T08:58:42Z,2022-02-01T08:58:47Z,2022-02-02T18:00:00Z,2022-02-02T18:00:00Z,FALSE
00Q1i00000AOsvZEAT,,Italy,facebook,2022-02-01T03:00:53Z,2022-02-01T08:56:45Z,,,,FALSE
00Q1i00000AOt07EAD,0011i00001O8Jn9AAF,Spain,lm,2022-02-01T03:25:36Z,2022-02-01T08:38:22Z,2022-02-01T11:41:48Z,2022-02-04T16:00:00Z,2022-02-08T16:00:00Z,FALSE
00Q1i00000AOt2zEAD,,Italy,facebook,2022-02-01T03:38:17Z,2022-02-01T10:41:00Z,2022-02-01T10:41:12Z,2022-02-03T15:00:00Z,2022-02-03T15:00:00Z,FALSE
00Q1i00000AOt3CEAT,0011i00001NcDDsAAN,Spain,facebook,2022-02-01T03:38:30Z,2022-02-01T08:06:32Z,2022-02-01T08:19:05Z,2022-02-02T09:00:00Z,2022-02-02T15:00:00Z,FALSE
00Q1i00000AOt6EEAT,,Spain,facebook,2022-02-01T03:57:13Z,2022-02-01T09:02:08Z,,,,FALSE
00Q1i00000AOt6jEAD,0011i00001R2BKwAAN,Italy,facebook,2022-02-01T04:54:33Z,2022-02-01T09:16:30Z,2022-04-12T10:24:04Z,2022-04-12T18:30:00Z,2022-04-12T18:30:00Z,FALSE
00Q1i00000AOt6iEAD,,France,SumUp,2022-02-01T04:54:33Z,2022-02-01T09:35:18Z,2022-02-01T10:10:16Z,2022-02-01T10:30:00Z,2022-02-01T10:30:00Z,FALSE
00Q1i00000AOt6nEAD,,France,facebook,2022-02-01T04:54:54Z,2022-02-01T08:34:41Z,,,,FALSE
00Q1i00000AOt6sEAD,,Italy,facebook,2022-02-01T04:55:14Z,2022-02-01T08:42:13Z,,,,FALSE
00Q1i00000AOt72EAD,,Italy,SumUp,2022-02-01T04:55:52Z,2022-02-01T09:07:06Z,2022-02-01T09:17:08Z,2022-02-01T18:30:00Z,2022-02-01T18:30:00Z,FALSE
00Q1i00000AOt77EAD,0011i00001O7ZGjAAN,Italy,facebook,2022-02-01T04:56:22Z,2022-02-01T08:40:02Z,2022-02-01T08:40:14Z,2022-02-03T17:00:00Z,2022-02-07T17:00:00Z,FALSE
00Q1i00000AOt7CEAT,,Italy,facebook,2022-02-01T04:56:57Z,2022-02-01T08:48:13Z,2022-02-01T08:48:25Z,2022-02-01T10:00:00Z,2022-02-09T08:00:00Z,FALSE
00Q1i00000AOt7gEAD,0011i00001NcF4DAAV,Germany,facebook,2022-02-01T05:19:41Z,2022-02-01T10:23:20Z,2022-02-01T10:29:48Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOt7lEAD,,Italy,facebook,2022-02-01T05:26:05Z,2022-02-01T08:58:38Z,,,,FALSE
00Q1i00000AOt7qEAD,,France,mvf,2022-02-01T05:27:09Z,2022-02-01T07:37:02Z,,,,FALSE
00Q1i00000AOt8AEAT,,France,facebook,2022-02-01T05:29:28Z,2022-02-01T08:34:51Z,2022-02-01T09:06:54Z,2022-02-04T14:00:00Z,2022-02-04T14:00:00Z,FALSE
00Q1i00000AOt8UEAT,,Spain,facebook,2022-02-01T05:35:38Z,2022-02-01T09:00:33Z,,,,FALSE
00Q1i00000AOt8jEAD,,Italy,facebook,2022-02-01T05:42:18Z,2022-02-01T08:43:05Z,,,,FALSE
00Q1i00000AOt8oEAD,,Spain,facebook,2022-02-01T05:43:03Z,2022-02-01T08:37:41Z,2022-02-01T08:57:55Z,2022-02-03T10:00:00Z,2022-02-03T10:00:00Z,FALSE
00Q1i00000AOt8yEAD,,Germany,facebook,2022-02-01T05:47:30Z,2022-02-01T10:21:00Z,,,,FALSE
00Q1i00000AOt9IEAT,0011i00001NbZMTAA3,France,facebook,2022-02-01T05:55:39Z,2022-02-01T08:39:10Z,2022-02-01T08:39:15Z,2022-02-01T14:00:00Z,2022-02-01T14:00:00Z,FALSE
00Q1i00000AOt9cEAD,,Italy,facebook,2022-02-01T06:06:57Z,2022-02-01T09:06:53Z,,,,FALSE
00Q1i00000AOt9rEAD,,France,mvf,2022-02-01T06:13:01Z,2022-02-01T07:37:32Z,,,,FALSE
00Q1i00000AOtABEA1,,Spain,facebook,2022-02-01T06:21:36Z,2022-02-01T08:20:50Z,,,,FALSE
00Q1i00000AOtAGEA1,,Italy,facebook,2022-02-01T06:22:46Z,2022-02-01T08:41:14Z,2022-02-01T08:41:19Z,2022-02-01T18:00:00Z,2022-02-01T18:00:00Z,FALSE
00Q1i00000AOtAaEAL,,Germany,google,2022-02-01T06:29:03Z,2022-02-01T10:18:27Z,,,,FALSE
00Q1i00000AOtAfEAL,,France,leboncoin,2022-02-01T06:31:29Z,2022-02-01T09:33:49Z,,,,FALSE
00Q1i00000AOtB0EAL,,France,google,2022-02-01T06:37:07Z,2022-02-01T08:32:48Z,2022-02-01T11:33:27Z,2022-02-08T17:00:00Z,2022-02-08T17:00:00Z,FALSE
00Q1i00000AOtAzEAL,,Italy,facebook,2022-02-01T06:37:07Z,2022-02-01T09:06:25Z,2022-02-01T10:24:43Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOtB4EAL,,Italy,facebook,2022-02-01T06:40:29Z,2022-02-01T08:53:05Z,,,,FALSE
00Q1i00000AOtB9EAL,,France,(direct),2022-02-01T06:41:37Z,2022-02-01T08:31:59Z,,,,FALSE
00Q1i00000AOtBiEAL,,Germany,google,2022-02-01T06:56:05Z,2022-02-01T10:11:57Z,,,,FALSE
00Q1i00000AOtBnEAL,,France,facebook,2022-02-01T06:58:33Z,2022-02-01T09:11:52Z,2022-02-02T09:35:45Z,2022-02-02T13:00:00Z,2022-02-02T13:00:00Z,FALSE
00Q1i00000AOtBsEAL,,France,facebook,2022-02-01T06:59:57Z,2022-02-01T08:51:50Z,,,,FALSE
00Q1i00000AOtC2EAL,,France,facebook,2022-02-01T07:01:21Z,2022-02-01T07:43:20Z,,,,FALSE
00Q1i00000AOtC7EAL,,Italy,google,2022-02-01T07:02:38Z,2022-02-01T07:34:56Z,,,,FALSE
00Q1i00000AOtCREA1,,France,facebook,2022-02-01T07:08:31Z,2022-02-01T07:40:47Z,,,,FALSE
00Q1i00000AOtCWEA1,,Spain,facebook,2022-02-01T07:11:47Z,2022-02-01T09:00:54Z,,,,FALSE
00Q1i00000AOtD0EAL,,Spain,facebook,2022-02-01T07:18:31Z,2022-02-01T09:04:29Z,,,,FALSE
00Q1i00000AOtDjEAL,,Spain,facebook,2022-02-01T07:26:57Z,2022-02-01T08:37:42Z,,,,FALSE
00Q1i00000AOtDtEAL,,Italy,facebook,2022-02-01T07:28:48Z,2022-02-01T07:36:27Z,,,,FALSE
00Q1i00000AOtEIEA1,,Germany,facebook,2022-02-01T07:36:05Z,2022-02-01T09:59:35Z,,,,FALSE
00Q1i00000AOtEhEAL,,Italy,google,2022-02-01T07:43:10Z,2022-02-01T07:46:41Z,,,,FALSE
00Q1i00000AOtErEAL,0011i00001O6Al4AAF,France,facebook,2022-02-01T07:49:12Z,2022-02-01T07:53:35Z,2022-02-01T07:58:47Z,2022-02-02T15:00:00Z,2022-02-02T15:00:00Z,FALSE
00Q1i00000AOtEwEAL,,Germany,partner,2022-02-01T07:49:36Z,2022-02-01T09:20:25Z,,,,FALSE
00Q1i00000AOtF1EAL,,Italy,facebook,2022-02-01T07:52:16Z,2022-02-01T07:55:11Z,,,,FALSE
00Q1i00000AOtFBEA1,0011i00001Nc3P7AAJ,Germany,facebook,2022-02-01T07:54:41Z,2022-02-01T08:56:02Z,2022-02-01T09:05:23Z,2022-02-02T09:00:00Z,2022-02-02T09:00:00Z,FALSE
00Q1i00000AOtFGEA1,,Italy,facebook,2022-02-01T07:55:35Z,2022-02-01T07:57:52Z,,,,FALSE
00Q1i00000AOtGOEA1,,France,google,2022-02-01T08:17:21Z,2022-02-01T08:25:30Z,,,,FALSE
00Q1i00000AOtGTEA1,,France,google,2022-02-01T08:17:37Z,2022-02-01T08:24:37Z,,,,FALSE
00Q1i00000AOtH2EAL,,Italy,facebook,2022-02-01T08:25:32Z,2022-02-01T08:29:47Z,,,,FALSE
00Q1i00000AOtHbEAL,,Spain,google,2022-02-01T08:33:13Z,2022-02-01T08:58:41Z,2022-02-01T09:12:18Z,2022-02-01T17:00:00Z,2022-02-02T17:00:00Z,FALSE
00Q1i00000AOtHqEAL,,France,facebook,2022-02-01T08:34:22Z,2022-02-01T08:34:47Z,,,,FALSE
00Q1i00000AOtIfEAL,,France,facebook,2022-02-01T08:40:06Z,2022-02-01T08:41:21Z,,,,FALSE
00Q1i00000AOtIeEAL,,Germany,facebook,2022-02-01T08:40:06Z,2022-02-01T08:41:56Z,,,,FALSE
00Q1i00000AOtIoEAL,,Spain,facebook,2022-02-01T08:41:57Z,2022-02-01T08:50:05Z,2022-02-01T12:26:06Z,2022-02-02T12:00:00Z,2022-02-02T12:00:00Z,FALSE
00Q1i00000AOtJDEA1,,France,facebook,2022-02-01T08:44:57Z,2022-02-01T08:45:57Z,,,,FALSE
00Q1i00000AOtJNEA1,,Italy,google,2022-02-01T08:45:34Z,,,,,FALSE
00Q1i00000AOtJXEA1,,Spain,facebook,2022-02-01T08:48:39Z,2022-02-01T08:50:24Z,,,,FALSE
00Q1i00000AOtK6EAL,,France,google,2022-02-01T08:53:37Z,2022-02-01T08:54:53Z,,,,FALSE
00Q1i00000AOtKGEA1,0011i00001NbZziAAF,France,,2022-02-01T08:54:46Z,2022-02-01T08:55:23Z,2022-02-01T09:01:12Z,2022-02-01T14:00:00Z,2022-02-01T14:00:00Z,FALSE
00Q1i00000AOtKfEAL,,France,google,2022-02-01T08:57:39Z,2022-02-01T09:01:56Z,2022-02-01T09:09:46Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOtKpEAL,,Italy,facebook,2022-02-01T09:00:09Z,2022-02-01T09:09:26Z,,,,FALSE
00Q1i00000AOtLiEAL,,Italy,google,2022-02-01T09:10:50Z,2022-02-01T09:12:34Z,,,,FALSE
00Q1i00000AOtM2EAL,,Italy,google,2022-02-01T09:11:30Z,2022-02-01T09:20:22Z,,,,FALSE
00Q1i00000AOtMMEA1,,Spain,SumUp,2022-02-01T09:13:37Z,2022-02-01T09:24:41Z,2022-02-01T09:32:20Z,2022-02-02T16:00:00Z,2022-02-02T16:00:00Z,FALSE
00Q1i00000AOtN0EAL,,France,,2022-02-01T09:16:27Z,2022-02-01T09:17:24Z,,,,FALSE
00Q1i00000AOtNPEA1,0011i00001Nc1xrAAB,Spain,(direct),2022-02-01T09:17:18Z,2022-02-01T09:32:47Z,2022-02-01T12:05:09Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOtNZEA1,,France,facebook,2022-02-01T09:17:50Z,2022-02-01T09:27:45Z,,,,FALSE
00Q1i00000AOtNyEAL,0011i00001O6VCHAA3,Spain,google,2022-02-01T09:18:45Z,2022-02-01T09:33:33Z,2022-02-02T11:30:46Z,2022-02-04T09:00:00Z,2022-02-04T09:00:00Z,FALSE
00Q1i00000AOtODEA1,,France,google,2022-02-01T09:19:54Z,2022-02-01T09:34:20Z,,,,FALSE
00Q1i00000AOtOSEA1,,Italy,google,2022-02-01T09:21:05Z,2022-02-01T09:28:38Z,2022-02-01T09:28:45Z,2022-02-02T18:00:00Z,2022-02-02T18:00:00Z,FALSE
00Q1i00000AOtOXEA1,,France,google,2022-02-01T09:21:47Z,2022-02-01T09:35:53Z,,,,FALSE
00Q1i00000AOtXlEAL,0011i00001NcAQbAAN,France,SumUp,2022-02-01T09:23:55Z,2022-02-01T09:35:54Z,2022-02-01T09:43:34Z,2022-02-02T14:00:00Z,2022-02-02T14:00:00Z,FALSE
00Q1i00000AOtxDEAT,,Italy,facebook,2022-02-01T09:25:19Z,2022-02-01T09:39:33Z,2022-02-01T09:39:38Z,2022-02-01T16:00:00Z,2022-02-14T08:10:00Z,FALSE
00Q1i00000AOtxIEAT,0011i00001Nc12DAAR,Germany,SumUp,2022-02-01T09:26:17Z,2022-02-01T09:31:57Z,2022-02-01T09:40:33Z,2022-02-02T09:00:00Z,2022-02-02T09:00:00Z,FALSE
00Q1i00000AOtxSEAT,,France,facebook,2022-02-01T09:28:11Z,2022-02-01T09:38:55Z,,,,FALSE
00Q1i00000AOtxXEAT,,France,facebook,2022-02-01T09:28:31Z,2022-02-01T09:44:18Z,,,,FALSE
00Q1i00000AOtyaEAD,,France,facebook,2022-02-01T09:35:30Z,2022-02-01T09:37:11Z,2022-02-01T09:42:33Z,2022-02-02T08:15:00Z,2022-02-02T08:15:00Z,FALSE
00Q1i00000AOtzEEAT,,Italy,SumUp,2022-02-01T09:38:22Z,2022-02-01T09:43:35Z,,,,FALSE
00Q1i00000AOtznEAD,,Spain,facebook,2022-02-01T09:43:44Z,2022-02-01T09:53:39Z,,,,FALSE
00Q1i00000AOuRLEA1,,Germany,SumUp,2022-02-01T09:52:43Z,2022-02-01T09:55:12Z,,,,FALSE
00Q1i00000AOuRaEAL,,France,facebook,2022-02-01T09:54:31Z,2022-02-01T09:58:52Z,,,,FALSE
00Q1i00000AOuRzEAL,0011i00001Nc4RoAAJ,Germany,google,2022-02-01T09:54:57Z,2022-02-01T09:58:27Z,2022-02-01T10:14:43Z,2022-02-02T11:00:00Z,2022-02-02T11:00:00Z,FALSE
00Q1i00000AOuSOEA1,,Spain,facebook,2022-02-01T09:57:24Z,2022-02-01T10:26:11Z,,,,FALSE
00Q1i00000AOuSTEA1,,France,google,2022-02-01T09:57:49Z,,,,,FALSE
00Q1i00000AOuT7EAL,,France,,2022-02-01T10:02:51Z,,2022-02-01T10:08:15Z,2022-02-03T19:00:00Z,2022-02-07T13:00:00Z,FALSE
00Q1i00000AOuUBEA1,,Spain,facebook,2022-02-01T10:08:57Z,2022-02-01T10:15:04Z,,,,FALSE
00Q1i00000AOuUAEA1,0011i00001O6dMeAAJ,France,SumUp,2022-02-01T10:08:57Z,2022-02-01T10:11:52Z,2022-02-01T10:16:39Z,2022-02-04T13:00:00Z,2022-02-04T13:00:00Z,FALSE
00Q1i00000AOuUUEA1,,Italy,google,2022-02-01T10:11:27Z,2022-02-01T10:22:15Z,,,,FALSE
00Q1i00000AOuUoEAL,,Spain,facebook,2022-02-01T10:12:56Z,2022-02-01T10:39:10Z,2022-02-22T10:46:03Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOuV3EAL,,France,google,2022-02-01T10:16:05Z,,,,,FALSE
00Q1i00000AOuVcEAL,0011i00001O6Wg6AAF,France,google,2022-02-01T10:20:00Z,2022-02-01T10:21:41Z,2022-02-01T10:25:10Z,2022-02-03T10:00:00Z,2022-02-04T10:00:00Z,FALSE
00Q1i00000AOuVwEAL,,Italy,facebook,2022-02-01T10:20:35Z,2022-02-01T10:30:26Z,2022-02-01T10:30:39Z,2022-02-01T18:30:00Z,2022-02-01T18:30:00Z,FALSE
00Q1i00000AOuWBEA1,,Italy,google,2022-02-01T10:22:59Z,2022-02-01T10:33:32Z,2022-02-01T10:33:41Z,2022-02-02T13:00:00Z,2022-02-02T13:00:00Z,FALSE
00Q1i00000AOuWLEA1,0011i00001OyAYuAAN,Spain,google,2022-02-01T10:23:49Z,2022-02-01T10:25:03Z,2022-02-24T11:34:25Z,2022-02-24T11:30:00Z,2022-02-26T10:00:00Z,FALSE
00Q1i00000AOuWfEAL,,Spain,facebook,2022-02-01T10:24:02Z,2022-02-01T10:46:16Z,,,,FALSE
00Q1i00000AOuWkEAL,,Italy,google,2022-02-01T10:24:40Z,2022-02-01T10:32:37Z,,,,FALSE
00Q1i00000AOuWqEAL,,Spain,facebook,2022-02-01T10:25:15Z,2022-02-01T11:26:39Z,,,,FALSE
00Q1i00000AOuWpEAL,,Spain,facebook,2022-02-01T10:25:15Z,2022-02-01T10:48:29Z,,,,FALSE
00Q1i00000AOuXEEA1,,Spain,facebook,2022-02-01T10:26:38Z,2022-02-01T11:16:19Z,,,,FALSE
00Q1i00000AOuXJEA1,,Italy,google,2022-02-01T10:27:16Z,2022-02-01T10:38:55Z,,,,FALSE
00Q1i00000AOuXTEA1,0011i00001NcTaSAAV,France,,2022-02-01T10:28:20Z,2022-02-01T10:31:06Z,2022-02-01T10:47:19Z,2022-02-03T09:00:00Z,2022-02-03T09:00:00Z,FALSE
00Q1i00000AOuZ5EAL,,France,google-sea,2022-02-01T10:34:57Z,2022-02-01T10:36:03Z,,,,FALSE
00Q1i00000AOuZFEA1,,Italy,facebook,2022-02-01T10:35:25Z,2022-02-01T10:50:49Z,,,,FALSE
00Q1i00000AOuZZEA1,,Spain,facebook,2022-02-01T10:36:57Z,2022-02-01T11:04:48Z,,,,FALSE
00Q1i00000AOua8EAD,,Germany,facebook,2022-02-01T10:39:12Z,2022-02-01T11:36:30Z,,,,FALSE
00Q1i00000AOua9EAD,,France,facebook,2022-02-01T10:39:12Z,2022-02-01T10:40:21Z,,,,FALSE
00Q1i00000AOuaNEAT,,France,facebook,2022-02-01T10:40:40Z,2022-02-01T10:43:26Z,,,,FALSE
00Q1i00000AOuaSEAT,,Italy,facebook,2022-02-01T10:41:25Z,2022-02-01T10:48:28Z,2022-02-01T10:48:42Z,2022-02-02T10:00:00Z,2022-02-16T10:00:00Z,FALSE
00Q1i00000AOuZQEA1,,Italy,google,2022-02-01T10:42:24Z,2022-02-01T10:51:31Z,,,,FALSE
00Q1i00000AOuacEAD,,Spain,google,2022-02-01T10:43:02Z,2022-02-01T11:08:07Z,,,,FALSE
00Q1i00000AOuahEAD,0011i00001NcEmqAAF,Italy,facebook,2022-02-01T10:43:49Z,2022-02-01T10:49:47Z,2022-02-01T12:41:19Z,2022-02-02T15:00:00Z,2022-02-02T17:00:00Z,FALSE
00Q1i00000AOuarEAD,,France,google,2022-02-01T10:44:46Z,2022-02-01T10:48:06Z,,,,FALSE
00Q1i00000AOuawEAD,0011i00001O7JvOAAV,France,google,2022-02-01T10:46:16Z,2022-02-01T10:47:53Z,2022-02-01T15:18:07Z,2022-02-07T09:00:00Z,2022-02-07T09:00:00Z,FALSE
00Q1i00000AOubVEAT,,Italy,facebook,2022-02-01T10:48:14Z,2022-02-01T10:59:00Z,2022-02-01T10:59:12Z,2022-02-02T13:00:00Z,2022-02-09T13:00:00Z,FALSE
00Q1i00000AOubfEAD,0011i00001Nbz3KAAR,France,facebook,2022-02-01T10:49:12Z,2022-02-01T10:57:22Z,2022-02-01T10:57:28Z,2022-02-01T17:00:00Z,2022-02-01T17:00:00Z,FALSE
00Q1i00000AOubuEAD,,France,facebook,2022-02-01T10:51:27Z,2022-02-01T10:53:37Z,2022-02-01T11:11:28Z,2022-02-01T17:30:00Z,2022-02-03T18:00:00Z,FALSE
00Q1i00000AOucEEAT,,France,google,2022-02-01T10:51:58Z,2022-02-01T10:58:24Z,,,,FALSE
00Q1i00000AOucTEAT,0011i00001NbcPcAAJ,France,,2022-02-01T10:53:32Z,2022-02-01T10:57:10Z,2022-02-01T10:57:17Z,2022-02-01T16:00:00Z,2022-02-01T16:00:00Z,FALSE
00Q1i00000AOucYEAT,,Spain,facebook,2022-02-01T10:54:03Z,2022-02-01T11:29:32Z,,,,FALSE
00Q1i00000AOucxEAD,,Italy,facebook,2022-02-01T10:56:57Z,2022-02-01T11:00:44Z,,,,FALSE
00Q1i00000AOudlEAD,,Italy,facebook,2022-02-01T11:00:52Z,2022-02-01T11:04:08Z,,,,FALSE
00Q1i00000AOueUEAT,,Italy,google,2022-02-01T11:02:55Z,2022-02-01T11:10:58Z,2022-02-01T11:11:18Z,2022-02-01T15:00:00Z,2022-02-01T15:00:00Z,FALSE
00Q1i00000AOueeEAD,0011i00001NbXBJAA3,Italy,facebook,2022-02-01T11:04:07Z,2022-02-01T11:18:05Z,2022-02-01T11:18:17Z,2022-02-01T13:00:00Z,2022-02-01T13:00:00Z,FALSE
00Q1i00000AOuetEAD,,Italy,facebook,2022-02-01T11:06:05Z,2022-02-01T11:22:16Z,,,,FALSE
00Q1i00000AOufcEAD,,France,facebook,2022-02-01T11:11:44Z,2022-02-01T11:13:30Z,,,,FALSE
00Q1i00000AOufmEAD,,Spain,SumUp,2022-02-01T11:12:21Z,2022-02-01T11:16:27Z,2022-02-15T11:25:53Z,2022-02-21T16:00:00Z,2022-02-21T16:00:00Z,FALSE
00Q1i00000AOufwEAD,,France,facebook,2022-02-01T11:13:33Z,2022-02-01T11:15:29Z,,,,FALSE
00Q1i00000AOug1EAD,0011i00001Nc9SlAAJ,Spain,facebook,2022-02-01T11:13:52Z,2022-02-01T11:16:12Z,2022-02-01T11:29:59Z,2022-02-01T16:00:00Z,2022-02-01T16:00:00Z,FALSE
00Q1i00000AOugBEAT,0011i00001Nc29AAAR,Germany,,2022-02-01T11:14:33Z,2022-02-01T11:15:43Z,2022-02-01T11:22:15Z,2022-02-02T09:00:00Z,2022-02-02T09:00:00Z,FALSE
00Q1i00000AOugaEAD,,Spain,google,2022-02-01T11:16:26Z,2022-02-01T11:31:47Z,,,,FALSE
00Q1i00000AOuhJEAT,,Italy,google,2022-02-01T11:19:44Z,2022-02-01T11:28:10Z,2022-02-07T10:47:40Z,2022-02-08T18:00:00Z,2022-02-15T10:00:00Z,FALSE
00Q1i00000AOuhOEAT,0011i00001OS3SQAA1,Italy,facebook,2022-02-01T11:20:40Z,2022-02-01T11:30:00Z,2022-02-09T09:25:51Z,2022-02-14T16:00:00Z,2022-02-15T11:00:00Z,FALSE
00Q1i00000AOui2EAD,,Spain,facebook,2022-02-01T11:24:07Z,2022-02-01T11:35:36Z,,,,FALSE
00Q1i00000AOuiREAT,,Italy,google,2022-02-01T11:26:15Z,2022-02-01T11:36:19Z,2022-02-01T11:36:31Z,2022-01-01T17:00:00Z,2022-01-01T17:00:00Z,FALSE
00Q1i00000AOuiSEAT,,Germany,SumUp,2022-02-01T11:26:15Z,2022-02-02T15:48:27Z,,,,FALSE
00Q1i00000AOuibEAD,,France,,2022-02-01T11:27:34Z,2022-02-01T11:30:27Z,2022-02-01T11:30:35Z,2022-02-01T12:00:00Z,2022-02-01T12:00:00Z,FALSE
00Q1i00000AOuilEAD,0011i00001Nc9goAAB,France,google,2022-02-01T11:31:16Z,2022-02-01T11:35:40Z,2022-02-01T11:35:51Z,2022-02-02T13:00:00Z,2022-02-02T13:00:00Z,FALSE
00Q1i00000AOuj0EAD,,Spain,facebook,2022-02-01T11:32:28Z,2022-02-01T11:34:13Z,,,,FALSE
00Q1i00000AOujAEAT,,Germany,google,2022-02-01T11:33:23Z,2022-02-02T15:51:22Z,2022-02-02T15:55:46Z,2022-02-04T09:00:00Z,2022-02-04T09:00:00Z,FALSE
00Q1i00000AOujKEAT,,France,google,2022-02-01T11:35:15Z,2022-02-01T11:36:24Z,,,,FALSE
00Q1i00000AOujeEAD,,Spain,facebook,2022-02-01T11:39:38Z,2022-02-01T11:41:56Z,2022-02-03T16:37:43Z,2022-02-08T09:00:00Z,2022-02-14T09:00:00Z,FALSE
00Q1i00000AOuk3EAD,,France,google,2022-02-01T11:41:27Z,2022-02-01T11:43:58Z,,,,FALSE
00Q1i00000AOuk8EAD,,France,facebook,2022-02-01T11:42:15Z,2022-02-01T11:43:58Z,,,,FALSE
00Q1i00000AOukIEAT,0011i00001O8FvgAAF,France,google,2022-02-01T11:44:32Z,2022-02-01T11:50:06Z,2022-02-01T11:50:21Z,2022-02-08T14:00:00Z,2022-02-08T14:00:00Z,FALSE
00Q1i00000AOukcEAD,,Germany,google,2022-02-01T11:45:30Z,2022-02-02T15:56:17Z,2022-08-12T14:33:00Z,2022-08-16T09:00:00Z,2022-08-16T09:00:00Z,FALSE
00Q1i00000AOukmEAD,,France,google,2022-02-01T11:46:06Z,2022-02-01T11:51:56Z,,,,FALSE
00Q1i00000AOulGEAT,0011i00001Nc2n4AAB,France,google,2022-02-01T11:49:15Z,2022-02-01T11:50:49Z,2022-02-01T11:56:29Z,2022-02-02T10:00:00Z,2022-02-02T10:00:00Z,FALSE
00Q1i00000AOulpEAD,,Spain,facebook,2022-02-01T11:53:03Z,2022-02-01T12:01:03Z,2022-02-01T12:01:14Z,2022-02-01T16:00:00Z,2022-02-01T16:00:00Z,FALSE
00Q1i00000AOum9EAD,0011i00001OTWeSAAX,France,google,2022-02-01T11:54:36Z,2022-02-01T11:57:42Z,2022-02-01T13:07:49Z,2022-01-07T17:00:00Z,2022-02-18T17:00:00Z,FALSE
00Q1i00000AOumTEAT,,Italy,google,2022-02-01T11:56:57Z,2022-02-01T12:06:03Z,,,,FALSE
00Q1i00000AOumdEAD,,Italy,facebook,2022-02-01T11:57:45Z,2022-02-01T12:03:29Z,,,,FALSE
00Q1i00000AOumnEAD,,Germany,(direct),2022-02-01T11:58:42Z,2022-02-01T12:01:13Z,,,,FALSE
